id_anime,title,genres,score
5114,Fullmetal Alchemist: Brotherhood,"Action,Adventure,Drama,Fantasy,Military,Shounen",9.14
28977,Gintama°,"Action,Comedy,Sci-Fi,Gag Humor,Historical,Parody,Samurai,Shounen",9.08
9253,Steins;Gate,"Drama,Sci-Fi,Suspense,Psychological,Time Travel",9.08
38524,Shingeki no Kyojin Season 3 Part 2,"Action,Drama,Gore,Military,Survival,Shounen",9.07
9969,Gintama',"Action,Comedy,Sci-Fi,Gag Humor,Historical,Parody,Samurai,Shounen",9.05
11061,Hunter x Hunter (2011),"Action,Adventure,Fantasy,Shounen",9.05
15417,Gintama': Enchousen,"Action,Comedy,Sci-Fi,Gag Humor,Historical,Parody,Samurai,Shounen",9.04
42938,Fruits Basket: The Final,"Drama,Romance,Supernatural,Shoujo",9.03
50265,Spy x Family,"Action,Comedy,Childcare,Shounen",9.03
34096,Gintama.,"Action,Comedy,Sci-Fi,Gag Humor,Historical,Parody,Samurai,Shounen",8.99
35180,3-gatsu no Lion 2nd Season,"Drama,Slice of Life,Childcare,Iyashikei,Strategy Game,Seinen",8.96
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,"Comedy,Suspense,Psychological,Romantic Subtext,School,Seinen",8.96
918,Gintama,"Action,Comedy,Sci-Fi,Gag Humor,Historical,Parody,Samurai,Shounen",8.95
4181,Clannad: After Story,"Drama,Romance,Supernatural",8.94
2904,Code Geass: Hangyaku no Lelouch R2,"Action,Drama,Sci-Fi,Mecha,Military,Super Power",8.91
35247,Owarimonogatari 2nd Season,"Comedy,Mystery,Supernatural,Vampire",8.90
37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,"Action,Comedy,Sci-Fi,Gag Humor,Historical,Parody,Samurai,Shounen",8.88
47778,Kimetsu no Yaiba: Yuukaku-hen,"Action,Fantasy,Historical,Shounen",8.87
48583,Shingeki no Kyojin: The Final Season Part 2,"Action,Drama,Gore,Military,Survival,Shounen",8.85
40028,Shingeki no Kyojin: The Final Season,"Action,Drama,Gore,Military,Survival,Shounen",8.84
19,Monster,"Drama,Mystery,Suspense,Adult Cast,Psychological,Seinen",8.83
50160,Kingdom 4th Season,"Action,Historical,Military,Seinen",8.82
36838,Gintama.: Shirogane no Tamashii-hen,"Action,Comedy,Sci-Fi,Gag Humor,Historical,Parody,Samurai,Shounen",8.81
40682,Kingdom 3rd Season,"Action,Historical,Military,Seinen",8.81
37510,Mob Psycho 100 II,"Action,Comedy,Supernatural,Super Power",8.81
32935,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,"Sports,School,Team Sports,Shounen",8.79
17074,Monogatari Series: Second Season,"Comedy,Mystery,Romance,Supernatural,Vampire",8.78
1,Cowboy Bebop,"Action,Sci-Fi,Adult Cast,Space",8.76
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"Drama,Adult Cast,Historical,Love Polygon,Performing Arts,Josei",8.75
24701,Mushishi Zoku Shou 2nd Season,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural,Adult Cast,Historical,Iyashikei,Seinen",8.74
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,"Drama,Fantasy,Ecchi,Isekai,Reincarnation",8.74
46102,Odd Taxi,"Mystery,Anthropomorphic",8.74
263,Hajime no Ippo,"Sports,Combat Sports,Shounen",8.74
37521,Vinland Saga,"Action,Adventure,Drama,Historical,Seinen",8.73
21939,Mushishi Zoku Shou,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural,Adult Cast,Historical,Iyashikei,Seinen",8.71
48569,86 Part 2,"Action,Drama,Sci-Fi,Mecha,Military",8.71
2921,Ashita no Joe 2,"Action,Drama,Slice of Life,Sports,Combat Sports,Shounen",8.71
1575,Code Geass: Hangyaku no Lelouch,"Action,Drama,Sci-Fi,Mecha,Military,School,Super Power",8.70
245,Great Teacher Onizuka,"Comedy,Drama,Delinquents,School,Workplace,Shounen",8.69
40748,Jujutsu Kaisen (TV),"Action,Fantasy,School,Shounen",8.68
34599,Made in Abyss,"Adventure,Drama,Fantasy,Mystery,Sci-Fi",8.68
457,Mushishi,"Adventure,Fantasy,Mystery,Slice of Life,Supernatural,Adult Cast,Historical,Iyashikei,Seinen",8.67
33352,Violet Evergarden,"Drama,Fantasy,Slice of Life",8.67
23273,Shigatsu wa Kimi no Uso,"Drama,Romance,Music,School,Shounen",8.66
5258,Hajime no Ippo: New Challenger,"Sports,Combat Sports,Shounen",8.66
28891,Haikyuu!! Second Season,"Sports,School,Team Sports,Shounen",8.65
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,"Comedy,Psychological,Romantic Subtext,School,Seinen",8.65
11665,Natsume Yuujinchou Shi,"Drama,Slice of Life,Supernatural,Iyashikei,Mythology,Shoujo",8.65
21,One Piece,"Action,Adventure,Fantasy,Shounen",8.65
34591,Natsume Yuujinchou Roku,"Drama,Slice of Life,Supernatural,Iyashikei,Mythology,Shoujo",8.63
40834,Ousama Ranking,"Adventure,Fantasy",8.63
2001,Tengen Toppa Gurren Lagann,"Action,Adventure,Comedy,Sci-Fi,Mecha",8.63
22135,Ping Pong the Animation,"Drama,Sports,Seinen",8.62
35760,Shingeki no Kyojin Season 3,"Action,Drama,Gore,Military,Survival,Shounen",8.62
1535,Death Note,"Supernatural,Suspense,Psychological,Shounen",8.62
19647,Hajime no Ippo: Rising,"Sports,Combat Sports,Shounen",8.59
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,"Action,Adventure,Organized Crime,Shounen",8.58
32983,Natsume Yuujinchou Go,"Drama,Slice of Life,Supernatural,Iyashikei,Mythology,Shoujo",8.58
10379,Natsume Yuujinchou San,"Drama,Slice of Life,Supernatural,Iyashikei,Mythology,Shoujo",8.58
28735,Shouwa Genroku Rakugo Shinjuu,"Drama,Historical,Love Polygon,Performing Arts,Josei",8.58
7785,Yojouhan Shinwa Taikei,"Comedy,Mystery,Romance,Psychological,Time Travel",8.57
40417,Fruits Basket 2nd Season,"Drama,Romance,Supernatural,Shoujo",8.57
11741,Fate/Zero 2nd Season,"Action,Fantasy,Supernatural",8.56
12365,Bakuman. 3rd Season,"Comedy,Drama,Romance,Otaku Culture,Shounen",8.55
38000,Kimetsu no Yaiba,"Action,Fantasy,Historical,Shounen",8.55
5300,Zoku Natsume Yuujinchou,"Drama,Slice of Life,Supernatural,Iyashikei,Mythology,Shoujo",8.55
170,Slam Dunk,"Sports,School,Team Sports,Shounen",8.54
35839,Sora yori mo Tooi Basho,"Adventure,Comedy,Drama",8.54
37779,Yakusoku no Neverland,"Mystery,Sci-Fi,Suspense,Psychological,Survival,Shounen",8.54
40776,Haikyuu!! To the Top Part 2,"Sports,School,Team Sports,Shounen",8.54
33,Kenpuu Denki Berserk,"Action,Adventure,Drama,Fantasy,Horror,Supernatural,Gore,Military,Mythology,Seinen",8.54
35843,Gintama.: Porori-hen,"Action,Comedy,Sci-Fi,Gag Humor,Historical,Parody,Samurai,Shounen",8.53
16498,Shingeki no Kyojin,"Action,Drama,Gore,Military,Survival,Shounen",8.53
38474,Yuru Camp△ Season 2,"Slice of Life,CGDCT,Iyashikei",8.53
877,Nana,"Drama,Romance,Slice of Life,Adult Cast,Love Polygon,Music,Shoujo",8.52
30484,Steins;Gate 0,"Drama,Sci-Fi,Suspense,Time Travel",8.52
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,"Action,Mystery,Sci-Fi,Adult Cast,Detective,Mecha,Military,Seinen",8.52
30654,Ansatsu Kyoushitsu 2nd Season,"Action,Comedy,School,Shounen",8.51
30276,One Punch Man,"Action,Comedy,Parody,Super Power,Seinen",8.51
12431,Uchuu Kyoudai,"Comedy,Sci-Fi,Slice of Life,Adult Cast,Space,Workplace,Seinen",8.50
205,Samurai Champloo,"Action,Adventure,Comedy,Historical,Samurai,Shounen",8.50
25777,Shingeki no Kyojin Season 2,"Action,Drama,Gore,Military,Survival,Shounen",8.50
3297,Aria the Origination,"Fantasy,Sci-Fi,Slice of Life,Iyashikei,Shounen",8.50
36649,Banana Fish,"Action,Adventure,Drama,Delinquents,Shoujo",8.50
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"Action,Adventure,Comedy,Drama,Supernatural,Shounen",8.50
49721,Karakai Jouzu no Takagi-san 3,"Comedy,Iyashikei,Romantic Subtext,School,Shounen",8.50
6114,Rainbow: Nisha Rokubou no Shichinin,"Drama,Suspense,Delinquents,Historical,Seinen",8.49
32182,Mob Psycho 100,"Action,Comedy,Supernatural,Super Power",8.48
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,"Drama,Fantasy,Suspense,Isekai,Psychological,Time Travel",8.48
37379,Chihayafuru 3,"Drama,Slice of Life,Sports,Love Polygon,School,Strategy Game,Josei",8.48
10165,Nichijou,"Comedy,Gag Humor,School,Shounen",8.46
31181,Owarimonogatari,"Comedy,Mystery,Supernatural,Vampire",8.46
46095,Vivy: Fluorite Eye's Song,"Action,Sci-Fi,Suspense,Music,Time Travel",8.45
392,Yuu☆Yuu☆Hakusho,"Action,Comedy,Supernatural,Martial Arts,Mythology,Shounen",8.45
40059,Golden Kamuy 3rd Season,"Action,Adventure,Historical,Seinen",8.45
20583,Haikyuu!!,"Sports,School,Team Sports,Shounen",8.45
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,"Action,Adventure,Drama,Supernatural,Shounen",8.44
34612,Saiki Kusuo no Ψ-nan 2,"Comedy,Supernatural,Gag Humor,School,Shounen",8.44
2246,Mononoke,"Fantasy,Horror,Mystery,Supernatural,Adult Cast,Historical,Mythology,Psychological,Seinen",8.43
33255,Saiki Kusuo no Ψ-nan,"Comedy,Supernatural,Gag Humor,School,Shounen",8.43
37105,Grand Blue,"Comedy,Seinen",8.43
38889,Kono Oto Tomare! Part 2,"Drama,Romance,Music,Performing Arts,School,Shounen",8.43
467,Koukaku Kidoutai: Stand Alone Complex,"Action,Sci-Fi,Adult Cast,Detective,Mecha,Military,Seinen",8.43
5028,Major S5,"Comedy,Drama,Romance,Sports,Team Sports,Shounen",8.42
14397,Chihayafuru 2,"Drama,Slice of Life,Sports,Love Polygon,School,Strategy Game,Josei",8.40
5941,Cross Game,"Drama,Romance,Sports,School,Team Sports,Shounen",8.40
35557,Houseki no Kuni (TV),"Action,Drama,Fantasy,Mystery,Anthropomorphic,Seinen",8.40
136,Hunter x Hunter,"Action,Adventure,Fantasy,Shounen",8.40
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"Comedy,Psychological,Romantic Subtext,School,Seinen",8.40
37965,Kaze ga Tsuyoku Fuiteiru,"Drama,Sports",8.40
39808,Non Non Biyori Nonstop,"Slice of Life,CGDCT,Iyashikei,Seinen",8.40
39551,Tensei shitara Slime Datta Ken 2nd Season,"Action,Adventure,Comedy,Fantasy,Isekai,Mythology,Reincarnation",8.40
31646,3-gatsu no Lion,"Drama,Slice of Life,Childcare,Iyashikei,Strategy Game,Seinen",8.39
22789,Barakamon,"Slice of Life,Childcare,Iyashikei,Visual Arts",8.39
41025,Fumetsu no Anata e,"Adventure,Drama,Supernatural,Shounen",8.39
49926,Kimetsu no Yaiba: Mugen Ressha-hen,"Action,Fantasy,Historical,Shounen",8.39
2251,Baccano!,"Action,Comedy,Mystery,Supernatural,Historical,Organized Crime",8.38
50380,Paripi Koumei,"Adult Cast,Music,Reincarnation",8.38
47194,Summertime Render,"Mystery,Supernatural,Suspense,Shounen",8.38
10162,Usagi Drop,"Slice of Life,Childcare,Iyashikei,Josei",8.38
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,"Comedy,Romance,Love Polygon,School",8.38
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,"Drama,Fantasy,Ecchi,Isekai,Reincarnation",8.37
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,"Drama,Fantasy,Suspense,Isekai,Psychological,Time Travel",8.37
48736,Sono Bisque Doll wa Koi wo Suru,"Romance,Slice of Life,Otaku Culture,School,Seinen",8.37
39247,Kobayashi-san Chi no Maid Dragon S,"Fantasy,Slice of Life",8.37
10030,Bakuman. 2nd Season,"Comedy,Drama,Romance,Otaku Culture,Shounen",8.36
38883,Haikyuu!! To the Top,"Sports,School,Team Sports,Shounen",8.36
9756,Mahou Shoujo Madoka★Magica,"Drama,Suspense,Mahou Shoujo,Psychological",8.36
13601,Psycho-Pass,"Action,Sci-Fi,Suspense,Adult Cast,Detective,Psychological",8.35
39533,Given,"Boys Love,Drama,Romance,Slice of Life,Music",8.35
17389,Kingdom 2nd Season,"Action,Historical,Military,Seinen",8.35
22535,Kiseijuu: Sei no Kakuritsu,"Action,Horror,Sci-Fi,Gore,Psychological,Seinen",8.35
5081,Bakemonogatari,"Mystery,Romance,Supernatural,Vampire",8.34
7655,Major S6,"Comedy,Drama,Sports,Team Sports,Shounen",8.34
30,Neon Genesis Evangelion,"Action,Avant Garde,Drama,Sci-Fi,Mecha,Psychological",8.34
5040,One Outs,"Sports,Adult Cast,Psychological,Team Sports,Seinen",8.34
2559,Romeo no Aoi Sora,"Adventure,Drama,Slice of Life,Historical",8.34
5341,Ookami to Koushinryou II,"Adventure,Fantasy,Romance,Adult Cast,Historical",8.33
338,Versailles no Bara,"Drama,Romance,Historical,Military,Shoujo",8.33
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"Drama,Slice of Life,Supernatural",8.33
6594,Katanagatari,"Action,Adventure,Romance,Historical,Martial Arts",8.33
5420,Kemono no Souja Erin,"Drama,Fantasy,Slice of Life",8.33
31043,Boku dake ga Inai Machi,"Mystery,Psychological,Time Travel,Seinen",8.32
28701,Fate/stay night: Unlimited Blade Works 2nd Season,"Action,Fantasy,Supernatural",8.32
4081,Natsume Yuujinchou,"Drama,Slice of Life,Supernatural,Iyashikei,Mythology,Shoujo",8.32
1210,NHK ni Youkoso!,"Comedy,Drama,Romance,Otaku Culture,Psychological",8.32
12531,Sakamichi no Apollon,"Drama,Romance,Love Polygon,Music,School,Josei",8.32
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2,"Action,Adventure,Comedy,Fantasy,Isekai,Mythology,Reincarnation",8.32
44940,World Trigger 3rd Season,"Action,Sci-Fi,Supernatural,School,Shounen",8.31
185,Initial D First Stage,"Action,Drama,Racing,Seinen",8.31
24415,Kuroko no Basket 3rd Season,"Sports,School,Team Sports,Shounen",8.31
30230,Diamond no Ace: Second Season,"Sports,School,Team Sports,Shounen",8.30
38691,Dr. Stone,"Adventure,Comedy,Sci-Fi,Survival,Time Travel,Shounen",8.30
31988,Hibike! Euphonium 2,"Drama,Music,Performing Arts,School",8.30
486,Kino no Tabi: The Beautiful World,"Action,Adventure,Slice of Life,Iyashikei,Psychological",8.30
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action,Adventure,Comedy,Romance,Historical,Samurai,Shounen",8.30
13125,Shinsekai yori,"Drama,Horror,Mystery,Sci-Fi,Supernatural,Psychological",8.30
25835,Shirobako,"Comedy,Drama,Adult Cast,Otaku Culture,Workplace",8.30
2402,Ashita no Joe,"Action,Drama,Slice of Life,Sports,Combat Sports,Shounen",8.29
57,Beck,"Comedy,Drama,Slice of Life,Music,Shounen",8.29
10087,Fate/Zero,"Action,Fantasy,Supernatural",8.29
19363,Gin no Saji 2nd Season,"Comedy,Slice of Life,School,Shounen",8.28
3002,Gyakkyou Burai Kaiji: Ultimate Survivor,"Suspense,Adult Cast,High Stakes Game,Psychological,Strategy Game,Seinen",8.28
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,"Adventure,Comedy,Fantasy,Isekai,Parody,Reincarnation",8.28
1698,Nodame Cantabile,"Comedy,Drama,Romance,Slice of Life,Adult Cast,Music,Josei",8.28
329,Planetes,"Drama,Romance,Sci-Fi,Adult Cast,Space,Workplace,Seinen",8.27
44055,Sasaki to Miyano,"Boys Love,Slice of Life,Otaku Culture,School",8.27
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,"Comedy,Drama,Romance,Supernatural,School",8.27
34798,Yuru Camp△,"Slice of Life,CGDCT,Iyashikei",8.27
40052,Great Pretender,"Action,Adventure,Mystery",8.26
22507,Initial D Final Stage,"Racing,Seinen",8.26
50631,"Komi-san wa, Comyushou desu. 2nd Season","Comedy,Romantic Subtext,School,Shounen",8.26
23327,Space☆Dandy 2nd Season,"Comedy,Sci-Fi,Adult Cast,Space",8.26
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama,Fantasy,Suspense,Isekai,Psychological,Time Travel",8.25
11843,Danshi Koukousei no Nichijou,"Comedy,Gag Humor,School",8.25
38731,Diamond no Ace: Act II,"Sports,School,Team Sports,Shounen",8.25
10271,Gyakkyou Burai Kaiji: Hakairoku-hen,"Suspense,Adult Cast,High Stakes Game,Psychological,Strategy Game,Seinen",8.25
41457,86,"Action,Drama,Sci-Fi,Mecha,Military",8.24
1842,Major S3,"Drama,Sports,Team Sports,Shounen",8.24
1735,Naruto: Shippuuden,"Action,Adventure,Fantasy,Martial Arts,Shounen",8.24
5690,Nodame Cantabile: Finale,"Comedy,Romance,Adult Cast,Music,Josei",8.24
2966,Ookami to Koushinryou,"Adventure,Fantasy,Romance,Adult Cast,Historical",8.24
43325,Yuukoku no Moriarty Part 2,"Mystery,Suspense,Historical,Psychological,Shounen",8.24
627,Major S1,"Comedy,Drama,Sports,Team Sports,Shounen",8.23
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,"Action,Drama,Sci-Fi,Mecha,Space",8.23
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,"Comedy,Romance,Love Polygon,School",8.23
37520,Dororo,"Action,Adventure,Supernatural,Historical,Mythology,Samurai,Shounen",8.23
37989,Golden Kamuy 2nd Season,"Action,Adventure,Historical,Seinen",8.23
16894,Kuroko no Basket 2nd Season,"Sports,School,Team Sports,Shounen",8.23
18115,Magi: The Kingdom of Magic,"Action,Adventure,Fantasy,Shounen",8.23
38680,Fruits Basket 1st Season,"Drama,Fantasy,Romance,Love Polygon,Shoujo",8.22
1142,Hachimitsu to Clover II,"Drama,Romance,Slice of Life,Love Polygon,Visual Arts,Josei",8.22
9863,SKET Dance,"Comedy,School,Shounen",8.22
6,Trigun,"Action,Adventure,Comedy,Drama,Sci-Fi,Adult Cast,Shounen",8.22
3091,xxxHOLiC: Kei,"Comedy,Drama,Mystery,Supernatural,Psychological,Seinen",8.22
558,Major S2,"Comedy,Drama,Sports,Team Sports,Shounen",8.21
3226,Major S4,"Comedy,Drama,Sports,Team Sports,Shounen",8.21
40729,Nomad: Megalo Box 2,"Drama,Sci-Fi,Sports,Combat Sports",8.21
49114,Vanitas no Karte Part 2,"Supernatural,Historical,Vampire,Shounen",8.21
38003,Bungou Stray Dogs 3rd Season,"Action,Mystery,Supernatural,Super Power,Seinen",8.21
42897,Horimiya,"Romance,School,Shounen",8.21
45577,IDOLiSH7: Third Beat!,"Drama,Idols (Male),Music",8.21
7674,Bakuman.,"Comedy,Drama,Romance,Otaku Culture,Shounen",8.20
32867,Bungou Stray Dogs 2nd Season,"Action,Mystery,Supernatural,Super Power,Seinen",8.20
10800,Chihayafuru,"Drama,Slice of Life,Sports,Love Polygon,School,Strategy Game,Josei",8.20
6811,InuYasha: Kanketsu-hen,"Action,Adventure,Comedy,Fantasy,Romance,Supernatural,Historical,Mythology,Time Travel,Shounen",8.20
18195,Little Busters!: Refrain,"Comedy,Drama,Romance,Slice of Life,Supernatural,School",8.20
2150,Tanoshii Muumin Ikka,"Adventure,Comedy,Fantasy,Slice of Life,Iyashikei,Kids",8.20
1453,Maison Ikkoku,"Comedy,Drama,Romance,Slice of Life,Adult Cast,Seinen",8.19
23623,Non Non Biyori Repeat,"Slice of Life,CGDCT,Iyashikei,School,Seinen",8.19
32843,Senki Zesshou Symphogear XV,"Action,Sci-Fi,Idols (Female),Music",8.19
440,Shoujo Kakumei Utena,"Comedy,Drama,Fantasy,Mystery,Mahou Shoujo,Psychological,Shoujo",8.19
35838,Shoujo Shuumatsu Ryokou,"Adventure,Mystery,Sci-Fi,Slice of Life,Iyashikei",8.19
38481,Toaru Kagaku no Railgun T,"Action,Sci-Fi,Super Power",8.19
37171,Asobi Asobase,"Comedy,Gag Humor,School,Seinen",8.19
34636,Ballroom e Youkoso,"Comedy,Drama,Romance,Sports,Performing Arts,School,Shounen",8.19
22297,Fate/stay night: Unlimited Blade Works,"Action,Fantasy,Supernatural",8.19
1889,Higurashi no Naku Koro ni Kai,"Mystery,Supernatural,Suspense,Gore,Psychological",8.19
25681,Kamisama Hajimemashita◎,"Comedy,Fantasy,Romance,Supernatural,Mythology,Shoujo",8.19
962,Aria the Natural,"Fantasy,Sci-Fi,Slice of Life,Iyashikei,Shounen",8.18
1519,Black Lagoon: The Second Barrage,"Action,Adult Cast,Organized Crime,Seinen",8.18
40852,Dr. Stone: Stone Wars,"Adventure,Comedy,Sci-Fi,Survival,Time Travel,Shounen",8.18
28171,Shokugeki no Souma,"Gourmet,Ecchi,School,Shounen",8.18
30503,Noragami Aragoto,"Action,Fantasy,Mythology,Shounen",8.17
28223,Death Parade,"Drama,Supernatural,Suspense,Adult Cast,High Stakes Game,Psychological",8.17
7791,K-On!!,"Comedy,CGDCT,Music,School",8.17
33486,Boku no Hero Academia 2nd Season,"Action,School,Super Power,Shounen",8.16
235,Detective Conan,"Adventure,Comedy,Mystery,Detective,Shounen",8.16
36296,Hinamatsuri (TV),"Comedy,Supernatural,Childcare,Organized Crime,Seinen",8.16
853,Ouran Koukou Host Club,"Comedy,Romance,Crossdressing,Reverse Harem,School,Shoujo",8.16
11597,Nisemonogatari,"Comedy,Mystery,Supernatural,Ecchi",8.15
4477,Nodame Cantabile: Paris-hen,"Comedy,Romance,Slice of Life,Adult Cast,Music,Josei",8.15
